融景城，精装修，领包入住，人车分流，高品质社区,450万,50000元/m²,2室1厅,90m²,低层(共18层),2010年建造,张川,融景城(东区)  石景山-八角-景阳东街66号,[]
议价40万急售!工商银行家属楼带28平米大客厅两居带固定车位,740万,91925元/m²,2室1厅,80m²,中层(共19层),1998年建造,李秀萍,牡丹园北里  海淀-牡丹园-小关街,"['品质小区 ', '繁华地段']"
新上 1号线 古城南路2层南北两居室 精装修能看房,220万,45833元/m²,2室1厅,48m²,共5层,1975年建造,李小丽,古城南路小区西区  石景山-古城-古城路30号,"['近地铁', '品质小区 ', '繁华地段']"
全明下叠，南北向，248米480万，水岸花墅。,480万,19354元/m²,4室2厅,248m²,共5层,2010年建造,乔红段,海阔水岸花墅  密云-密云-密溪路55号,"['叠加别墅', '环境优美', '安全性高']"
拥金1.2房价可大议，南北通透大两居，诚心售,750万,60832元/m²,2室2厅,123m²,低层(共10层),2007年建造,孙宇,星河苑2号院  丰台-马家堡-马家堡西路,[]
大兴新机场覆盖区，70年住宅，南北通透低总价精装修，交通便利,235万,27909元/m²,2室2厅,84m²,高层(共8层),2000年建造,郑帅帅,林海园  大兴-观音寺-黄徐路,"['繁华地段', '品质小区 ']"
西三环边上经典小区风荷曲苑全南二居室,806万,82002元/m²,2室1厅,98m²,低层(共20层),2004年建造,李龙飞,风荷曲苑  丰台-六里桥西-莲宝中路,[]
老客户房源 万科高端社区 紧邻地铁口 首付240万 可谈价格,540万,63106元/m²,2室2厅,85m²,共5层,2008年建造,许东明,"万科中粮假日风景C区  丰台-青塔-大瓦窑北路,近小屯西路",['送车位']
万科假日风景  2室2厅 540万 花园洋房社区 临地铁,520万,60868元/m²,2室1厅,85m²,共5层,2009年建造,张晨光,"万科中粮假日风景C区  丰台-青塔-大瓦窑北路,近小屯西路",[]
假日风景新出2层东西两居，总价低，可*300万，中心位置。,540万,62790元/m²,2室1厅,86m²,共5层,2009年建造,黄清涛,"万科中粮假日风景C区  丰台-青塔-大瓦窑北路,近小屯西路",['品质小区 ']
八里庄路62号院 定慧福里 南北通透 户型方正 没有浪费面积,850万,87277元/m²,2室1厅,97m²,低层(共17层),2009年建造,赵泽杰,八里庄路62号院  海淀-定慧寺-八里庄路62号,"['近地铁', '品质小区 ', '配套成熟']"
东兴小区.有钥匙.随时看房.,325万,35499元/m²,2室1厅,91m²,高层(共6层),2003年建造,江万菊,东兴第一社区  顺义-顺义城-大东路,[]
定福庄西街 2室 2厅 95.02平米,450万,47363元/m²,2室2厅,95m²,高层(共6层),2000年建造,何家骥,定福庄西街小区  朝阳-定福庄-定福庄西街,['品质小区 ']
地铁6号线常营站万象新天南北二居H户型看房基本随时,535万,53779元/m²,2室1厅,99m²,低层(共10层),2005年建造,杨清,万象新天家园  朝阳-常营-常营北路10号,"['品质小区 ', '繁华地段']"
拥金1.2 房价可大议 东南向金角2居 满五年一套房诚心出售,515万,62720元/m²,2室1厅,82m²,低层(共24层),2000年建造,孙章昊,莲香园  丰台-六里桥西-六里桥北里16号,"['繁华地段', '配套成熟']"
花涧溪好房出售！此房两证全！无营业税买进的价格很高,430万,44311元/m²,2室1厅,97m²,低层(共6层),2009年建造,武文举 ,花涧溪  通州-梨园-云景南大街38号,['放心房']
